parameter,zipf_K,exponential_K,logistic_K
3.19,0.7414641224170566,0.9206921412905676,0.002776304371878096
3.2,0.743336294224387,0.9214503609647068,0.002776341118657569
3.21,0.7451951811089742,0.9222016244808638,0.00277637770918851
3.22,0.7470408686270581,0.922945990080426,0.0027764141448371185
3.23,0.7488734420024208,0.9236835156236369,0.002776450426945768
3.24,0.7506929861216255,0.9244142585899827,0.0027764865568334386
3.25,0.7524995855294715,0.9251382760786263,0.0027765225357961427
3.2600000000000002,0.7542933244246748,0.9258556248088928,0.002776558365107347
3.27,0.756074286655759,0.9265663611208003,0.00277659404601838
3.2800000000000002,0.75784255571715,0.9272705409756357,0.0027766295797588382
3.29,0.7595982147454677,0.9279682199565782,0.0027766649675369857
3.3000000000000003,0.7613413465160123,0.9286594532693648,0.0027767002105401504
3.31,0.7630720334394305,0.9293442957429983,0.0027767353099351017
3.3200000000000003,0.7647903575585642,0.9300228018304997,0.002776770266868437
3.33,0.7664964005454697,0.9306950256096961,0.00277680508246694
3.34,0.7681902436986044,0.9313610207840529,0.0027768397578379627
3.35,0.7698719679401745,0.9320208406835425,0.002776874294069777
3.36,0.7715416538136359,0.9326745382655505,0.002776908692231932
3.37,0.7731993814813549,0.933322166115818,0.0027769429533755947
3.38,0.7748452307224024,0.9339637764494202,0.002776977078533897
3.39,0.7764792809304996,0.9345994211117795,0.002777011068722275
3.4,0.7781016111120911,0.9352291515797095,0.0027770449249387937
3.41,0.7797122998845604,0.9358530189624961,0.0027770786481644714
3.42,0.781311425474562,0.9364710740030067,0.0027771122393636
3.43,0.7828990657164849,0.9370833670788311,0.0027771456994840683
3.44,0.7844752980510331,0.9376899482034526,0.002777179029457649
3.45,0.7860401995239176,0.9382908670274472,0.0027772122302003265
3.46,0.7875938467846696,0.938886172839711,0.0027772453026125724
3.47,0.7891363160855481,0.9394759145687168,0.002777278247579658
3.48,0.7906676832805688,0.9400601407837939,0.002777311065971927
3.49,0.7921880238246175,0.9406388996964338,0.002777343758645087
3.5,0.7936974127726726,0.9412122391616252,0.0027773763264404864
3.5100000000000002,0.7951959247791207,0.9417802066792053,0.0027774087701853854
3.52,0.796683634097156,0.9423428493952403,0.002777441090693225
3.5300000000000002,0.7981606145782802,0.9429002141034262,0.0027774732887638934
3.54,0.799626939671879,0.9434523472465106,0.002777505365183986
3.5500000000000003,0.8010826824248848,0.9439992949177366,0.0027775373207270557
3.56,0.8025279154815192,0.9445411028623046,0.002777569156153867
3.5700000000000003,0.8039627110831162,0.9450778164788565,0.0027776008722126427
3.58,0.8053871410680117,0.9456094808209767,0.002777632469639304
3.59,0.8068012768715168,0.9461361405987103,0.0027776639491577148
3.6,0.808205189525955,0.9466578401801018,0.002777695311479903
3.61,0.8095989496607663,0.9471746235927464,0.0027777265573063026
3.62,0.8109826275026796,0.9476865345253601,0.002777757687325971
3.63,0.81235629287595,0.9481936163293644,0.002777788702216819
3.64,0.8137200152026517,0.9486959120204859,0.0027778196026458173
3.65,0.8150738635030382,0.9491934642803689,0.0027778503892692255
3.66,0.8164179063959516,0.9496863154582023,0.0027778810627327884
3.67,0.8177522120992958,0.9501745075723601,0.0027779116236719514
3.68,0.8190768484305528,0.9506580823120544,0.00277794207271206
3.69,0.8203918828073656,0.9511370810389974,0.0027779724104685594
3.7,0.8216973822481543,0.9516115447890758,0.002778002637547198
3.71,0.822993413372792,0.9520815142740402,0.0027780327545442033
3.72,0.8242800424033258,0.9525470298831974,0.0027780627620464893
3.73,0.8255573351647372,0.953008131685118,0.0027780926606318316
3.74,0.8268253570857562,0.9534648594293492,0.002778122450869055
3.75,0.8280841731997048,0.9539172525481378,0.0027781521333182066
3.7600000000000002,0.8293338481453912,0.9543653501581646,0.00277818170853074
3.77,0.8305744461680394,0.9548091910622785,0.00277821117704968
3.7800000000000002,0.8318060311202565,0.9552488137512445,0.0027782405394098045
3.79,0.8330286664630356,0.9556842564054973,0.002778269796137798
3.8000000000000003,0.8342424152667974,0.9561155568968973,0.002778298947752422
3.81,0.835447340212461,0.9565427527904969,0.0027783279947646775
3.8200000000000003,0.8366435035925518,0.9569658813463103,0.002778356937677959
3.83,0.8378309673123351,0.9573849795210874,0.0027783857769882133
3.84,0.8390097928909895,0.9578000839700914,0.0027784145131840928
3.85,0.8401800414627975,0.9582112310488857,0.002778443146747097
3.86,0.8413417737783736,0.9586184568151186,0.0027784716781517295
3.87,0.8424950502059173,0.9590217970303117,0.0027785001078656406
3.88,0.8436399307324866,0.9594212871616561,0.002778528436349763
3.89,0.844776474965306,0.9598169623838069,0.0027785566640584555
3.9,0.8459047421330894,0.9602088575806803,0.0027785847914396406
3.91,0.8470247910873914,0.9605970073472537,0.002778612818934936
3.92,0.8481366803039811,0.9609814459913679,0.0027786407469797877
3.93,0.849240467884232,0.9613622075355263,0.002778668576003597
3.94,0.8503362115565395,0.961739325718702,0.0027786963064298535
3.95,0.8514239686777525,0.9621128339981387,0.002778723938676253
3.96,0.8525037962346231,0.962482765551155,0.0027787514731548195
3.97,0.8535757508452829,0.9628491532769484,0.0027787789102720326
3.98,0.8546398887607207,0.963212029798398,0.0027788062504289393
3.99,0.855696265866297,0.9635714274638679,0.002778833494021268
4.0,0.8567449376832543,0.9639273783490084,0.00277886064143955
4.01,0.8577859593702551,0.9642799142585565,0.00277888769306922
4.0200000000000005,0.8588193857249323,0.9646290667281326,0.0027789146492907357
4.03,0.8598452711854444,0.9649748670260421,0.0027789415104796755
4.04,0.8608636698320564,0.9653173461550644,0.0027789682770068573
4.05,0.8618746353887271,0.9656565348542506,0.00277899494923842
4.0600000000000005,0.8628782212247036,0.9659924636007114,0.0027790215275359494
4.07,0.8638744803561352,0.9663251626114041,0.0027790480122565587
4.08,0.8648634654476902,0.9666546618449172,0.0027790744037529966
4.09,0.865845228814191,0.966980991003252,0.0027791007023737382
4.1,0.8668198224222472,0.9673041795336004,0.0027791269084630806
4.11,0.8677872978919122,0.9676242566301178,0.0027791530223612287
4.12,0.8687477064983316,0.967941251235694,0.002779179044404402
4.13,0.8697010991734134,0.9682551920437198,0.0027792049749249003
4.14,0.870647526507498,0.9685661074998466,0.0027792308142512118
4.15,0.8715870387510364,0.9688740258037482,0.0027792565627080793
4.16,0.8725196858162745,0.9691789749108678,0.002779282220616601
4.17,0.8734455172789468,0.9694809825341711,0.002779307788294301
4.18,0.8743645823799686,0.9697800761458861,0.002779333266055211
4.19,0.8752769300271422,0.9700762829792428,0.002779358654209952
4.2,0.8761826087968575,0.9703696300302043,0.0027793839530658136
4.21,0.8770816669358039,0.9706601440591958,0.0027794091629268223
4.22,0.8779741523626875,0.9709478515928243,0.002779434284093819
4.23,0.8788601126699422,0.971232778925595,0.002779459316864534
4.24,0.8797395951254567,0.9715149521216222,0.002779484261533657
4.25,0.8806126466742903,0.9717943970163323,0.0027795091183929034
4.26,0.8814793139404046,0.972071139218161,0.0027795338877310907
4.2700000000000005,0.8823396432283862,0.9723452041102454,0.002779558569834193
4.28,0.8831936805251791,0.9726166168521098,0.002779583164985422
4.29,0.884041471501811,0.9728854023813424,0.0027796076734652795
4.3,0.8848830615151267,0.9731515854152688,0.0027796320955516224
